koi_kepmag,disposition,pl_radj,koi_impact,pl_trandur,depth,pl_orbper,pl_eqt,st_teff,st_logg,st_rad,pl_insol,st_dist,discoverymethod,st_mass,st_dens,sy_kmag,release_date
15.135,1,0.17753590864483898,0.915,1.1196,0.0008217000000000001,2.243380573,822.0,4149.0,4.698,0.564,107.6,,,,,,
15.562,0,1.0018734945133376,0.324,6.5036,0.0144888,10.405998015,833.0,5746.0,4.393,0.924,113.94,,,,,,
15.334,1,0.2087608172004639,0.28,1.9982,0.0009712000000000001,2.337437946,1070.0,5005.0,4.595,0.765,311.16,,,,,,
15.334,1,1.7352127754483004,1.198,0.558,0.0005564,7.2406612,734.0,5005.0,4.595,0.765,68.63,,,,,,
12.791,1,0.04906771344455349,0.624,3.133,2.3199999999999998e-05,3.43591631,1272.0,5779.0,4.339,1.087,617.61,,,,,,
15.937,1,0.23641716477830316,0.679,2.5237,0.0028045,11.59822233,396.0,3688.0,4.79,0.473,5.82,,,,,,
15.312,1,0.4737264698010527,0.39,4.3084,0.0027933000000000003,6.575315881,1015.0,5992.0,4.415,0.989,251.38,,,,,,
15.08,1,0.43358015880096357,0.547,7.5377,0.003001,7.275040844,833.0,5485.0,4.556,0.867,113.64,,,,,,
15.385,1,0.1721830671781604,0.031,2.7594,0.0012198,19.27153892,393.0,4077.0,4.702,0.56,5.66,,,,,,
15.385,1,0.17039878668926756,0.628,1.369,0.0010532999999999999,10.06524317,488.0,4077.0,4.702,0.56,13.43,,,,,,
15.505,1,0.2373093050227496,0.883,3.8896,0.0009166,12.3935651,677.0,5557.0,4.603,0.75,49.68,,,,,,
12.882,1,0.2560442501561246,0.852,6.802,0.0006152,43.84439721,531.0,5854.0,4.406,1.012,18.77,,,,,,
15.629,0,1.9225622267820504,1.213,3.813,0.0007252999999999999,3.341913228,1032.0,5295.0,4.551,0.811,268.67,,,,,,
15.279,0,2.893210812739763,1.26,2.1145,0.0016205999999999998,1.626630225,1547.0,5735.0,4.41,0.973,1355.88,,,,,,
15.541,1,0.27834775626728525,0.023,3.0099,0.0008375,2.711504086,1420.0,6214.0,4.442,1.076,960.79,,,,,,
15.541,1,0.2961905611562137,0.012,4.0491,0.0009504,7.21203748,1025.0,6214.0,4.442,1.076,260.58,,,,,,
15.727,0,0.16772236595592827,0.1601,2.505,0.00045989999999999996,14.1798187,711.0,5799.0,4.539,0.878,60.35,,,,,,
15.339,1,0.23106432331162458,0.022,2.7245,0.0011235,8.47237911,751.0,5354.0,4.587,0.788,75.44,,,,,,
15.339,1,0.21054509768935675,0.094,5.039,0.0009312999999999999,60.4189369,390.0,5354.0,4.587,0.788,5.49,,,,,,
15.14,1,0.660183780890356,0.55,5.1497,0.0061056,12.611904345,753.0,5795.0,4.508,0.919,76.15,,,,,,
15.122,0,4.155589258631457,1.268,1.8868,0.0019763,1.433769925,1920.0,6017.0,4.22,1.339,3209.29,,,,,,
15.065,0,2.550628958872335,1.215,3.836,0.0008717,10.31872301,876.0,5927.0,4.409,1.06,139.26,,,,,,
15.026,1,0.18378089035596396,0.238,2.4282,0.0003821,2.539183147,1332.0,5519.0,4.35,1.062,743.09,,,,,,
15.591,1,0.2471228477116603,0.838,2.0844,0.001304,6.770300385,812.0,5653.0,4.656,0.679,102.87,,,,,,
15.748,0,2.454277812472121,1.258,2.0792,0.0109674,0.444291966,1836.0,5255.0,4.678,0.636,2706.26,,,,,,
15.657,1,0.6896244089570881,0.92,3.5089,0.005741100000000001,10.181584004,812.0,5988.0,4.541,0.836,102.91,,,,,,
15.954,1,0.1748594879114997,0.556,3.3203,0.0014947,20.06036336,361.0,3950.0,4.754,0.493,4.0,,,,,,
15.954,1,0.16326166473369616,0.013,4.758,0.0013947,46.1842039,273.0,3950.0,4.754,0.493,1.32,,,,,,
12.882,1,0.11687037202248195,0.95,5.351,0.000104,23.9800854,649.0,5854.0,4.406,1.012,41.94,,,,,,
15.954,1,0.10705682933357123,0.708,2.186,0.0005208,7.82502168,494.0,3950.0,4.754,0.493,14.05,,,,,,
15.725,1,0.6548309394236774,0.524,2.3111,0.0085448,3.895936525,1005.0,5557.0,4.592,0.774,241.62,,,,,,
15.583,1,0.20697653671157104,0.4,5.228,0.0009868,22.36646466,536.0,5395.0,4.615,0.734,19.45,,,,,,
15.001,1,0.8680524578463735,0.076,2.38963,0.007969,1.625522174,1579.0,5539.0,4.322,1.106,1467.41,,,,,,
15.562,1,1.2133107324471406,0.458,2.0038,0.0217246,19.620346923,643.0,5710.0,4.492,0.905,40.39,,,,,,
15.559,0,1.558569007047908,1.175,6.222,0.00032260000000000004,7.544039,838.0,5657.0,4.567,0.824,116.46,,,,,,
15.387,1,0.22928004282273173,0.024,3.1449,0.0010198,9.02930689,757.0,5349.0,4.526,0.82,77.75,,,,,,
15.646,0,1.184762244624855,0.281,7.7915,0.0169177,10.328035714,843.0,5627.0,4.359,1.024,119.31,,,,,,
15.403,1,0.7940048175573201,0.379,8.9302,0.0105657,143.2063047,308.0,5485.0,4.556,0.867,2.14,,,,,,
12.882,1,0.07047907931126773,0.646,3.262,5.5799999999999994e-05,6.164876,1021.0,5854.0,4.406,1.012,256.35,,,,,,
15.403,1,1.0875189579801945,0.224,6.6188,0.0202804,60.32494216,411.0,5485.0,4.556,0.867,6.77,,,,,,
15.403,1,0.17039878668926756,0.3619,4.803,0.000488,29.1598615,524.0,5485.0,4.556,0.867,17.85,,,,,,
15.974,0,2.291908287982871,1.225,2.1541,0.0008161,1.540397253,1470.0,5663.0,4.53,0.915,1105.68,,,,,,
15.842,0,0.15166384155589258,0.014,5.414,0.0005892,2.99025443,918.0,4667.0,4.578,0.731,168.45,,,,,,
15.53,1,1.0081184762244626,0.514,1.9604,0.0150445,1.594745374,1539.0,5934.0,4.491,0.893,1329.42,,,,,,
15.119,1,0.22303506111160676,0.003,2.335,0.0010087,4.783002698,886.0,5170.0,4.574,0.807,145.48,,,,,,
15.398,1,0.3042198233562316,0.26,4.0595,0.0021055,20.50588921,518.0,4905.0,4.544,0.761,17.06,,,,,,
15.954,1,0.18110446962262466,0.466,1.9104,0.0016326,3.340218842,656.0,3950.0,4.754,0.493,43.73,,,,,,
15.555,0,2.699616379694888,1.255,2.0067,0.0013392,2.507089906,1326.0,5926.0,4.506,0.939,730.47,,,,,,
15.386,1,0.27834775626728525,0.08,4.4056,0.0008936,18.64932728,701.0,5775.0,4.405,1.053,57.13,,,,,,
12.487,1,0.15166384155589258,0.529,4.1654,0.00014069999999999998,4.90144976,1262.0,5847.0,4.191,1.402,598.74,,,,,,
15.386,1,0.24623070746721384,0.949,4.793,0.000418,9.75192101,870.0,5775.0,4.405,1.053,135.66,,,,,,
15.386,1,0.35864037826746364,0.911,5.794,0.000993,38.5576546,550.0,5775.0,4.405,1.053,21.71,,,,,,
15.224,1,1.0330984030689625,0.12,2.59959,0.022335,3.525632539,975.0,5150.0,4.572,0.793,213.12,,,,,,
15.684,1,0.6789187260237309,0.934,2.9315,0.0045236,34.84398644,511.0,5509.0,4.482,0.871,16.1,,,,,,
15.67,1,0.4924614149344277,0.517,3.5957,0.0024721,7.748094239,964.0,5973.0,4.439,1.085,204.39,,,,,,
15.414,1,0.16058524400035687,0.416,3.827,0.0011823,23.96793669,329.0,3747.0,4.728,0.524,2.77,,,,,,
15.414,1,0.1623695244892497,0.888,1.3421,0.0008242999999999999,8.29561738,469.0,3747.0,4.728,0.524,11.39,,,,,,
15.877,1,0.18734945133374967,0.573,2.2736,0.001558,8.11437482,460.0,3692.0,4.753,0.517,10.55,,,,,,
15.472,0,2.4533856722276743,0.501,4.34617,0.0828716,38.036729482,500.0,5575.0,4.521,0.932,14.81,,,,,,
15.27,1,2.684449995539299,1.28,35.512,0.0024506,4.64090031,1155.0,6463.0,4.5,0.826,421.08,,,,,,
13.496,0,1.2177714336693728,1.121,5.0642,0.000616,3.747838198,1031.0,5514.0,4.569,0.826,266.76,,,,,,
12.487,1,0.25782853064501743,0.173,6.0995,0.0004302,14.74914825,874.0,5847.0,4.191,1.402,137.91,,,,,,
15.54,1,0.3015434026228923,0.053,4.3791,0.0011754,21.81295996,639.0,5601.0,4.41,0.999,39.33,,,,,,
15.805,0,0.9224730127576055,0.733,3.3148,0.015148100000000001,7.91936937,814.0,5690.0,4.588,0.776,104.0,,,,,,
15.202,1,6.492104558836649,1.5734,1.8606,0.008098,1.028436523,1947.0,6228.0,4.428,0.99,3400.48,,,,,,
